objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544433,184379,0.081277,51.539829,1181482.89698468,5769.18915423961
2,E05000027,Alibon, ,549247,185196,0.150987,51.545921,1344130.36203949,5778.85640712191
3,E05000028,Becontree, ,546863,185869,0.116912,51.552601,1369326.89760427,5650.58835654308
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,3281309.43915031,8145.66710467354
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.555191,3416543.69653415,8249.27419371886
6,E05000031,Eastbury, ,546074,183978,0.104756,51.535809,1403338.35105464,6404.20756159211
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53257,1262122.54742637,5597.8811168517
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.536041,1182516.00096169,4952.80922062976
9,E05000034,Heath, ,549340,186620,0.152931,51.558689,2005197.66431792,6784.47560531008
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54443,1759272.48297171,6038.67758557545
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.545189,1826454.69823448,7002.46394422226
12,E05000037,Parsloes, ,548150,185599,0.135348,51.549831,1232990.87697887,5915.23378774752
13,E05000038,River, ,549432,182817,0.152645,51.524502,3394161.27330713,8862.90722870738
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,6579096.95547353,11963.3527898712
15,E05000040,Valence, ,548153,186867,0.135925,51.56123,1237836.45643747,5108.27880963091
16,E05000041,Village, ,550361,184190,0.166611,51.536591,2137135.15580139,7137.26811409353
17,E05000042,Whalebone, ,548545,187662,0.141911,51.568272,1602805.59155351,5990.73401919046
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.627602,3121370.89537665,7594.32730743783
19,E05000044,Burnt Oak, ,520522,190761,-0.26113,51.602798,2129846.3484148,5734.39967005128
20,E05000045,Childs Hill, ,524656,186687,-0.20291,51.565289,3056001.24193785,8296.17170422749
21,E05000046,Colindale, ,521442,189584,-0.24826,51.592018,2419947.26359397,7508.66590809657
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.610748,2671966.91181439,7189.02828549675
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.646141,3614684.86589679,8752.45711103971
24,E05000049,East Finchley, ,526811,190033,-0.17063,51.594879,2342302.20097621,7564.13371921082
25,E05000050,Edgware, ,518863,193351,-0.2842,51.626431,5789217.64415808,11015.4186510345
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.596809,2666185.20197761,7527.24904401557
27,E05000052,Garden Suburb, ,526124,188445,-0.18112,51.580761,4820263.79290508,9380.44821896984
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.570889,3231248.84368264,8644.23304113104
29,E05000054,Hale, ,520890,193803,-0.25477,51.630058,5247874.02194787,13003.86330966
30,E05000055,Hendon, ,523084,189557,-0.22458,51.591431,3119052.2808941,7480.37059267369
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.655411,7977933.9174785,16894.8302509422
32,E05000057,Mill Hill, ,523111,192066,-0.22331,51.613972,9225369.23526357,12429.2163642577
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.637192,3570670.69803425,10286.0067110785
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.626591,9111136.17311108,13925.4804971499
35,E05000060,Underhill, ,523991,195493,-0.20939,51.644569,4756984.34142795,13243.802320789
36,E05000061,West Finchley, ,525518,191440,-0.18879,51.607811,2218086.52595567,6821.15444771755
37,E05000062,West Hendon, ,522394,188065,-0.23505,51.578171,3187275.60940921,9086.62816593001
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.611301,2682875.4316014,7524.19136773354
39,E05000085,Alperton, ,518344,183853,-0.29489,51.541168,2205188.81044145,8143.55583121547
40,E05000086,Barnhill, ,519301,187233,-0.27995,51.57135,3140213.62168208,9129.16117127333
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.542351,1779686.17041352,6151.75187452485
42,E05000088,Dollis Hill, ,522313,186513,-0.23676,51.56424,2313988.91196164,5856.53527157837
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.555229,1774799.20555558,8290.92506399742
44,E05000090,Fryent, ,520182,188419,-0.26684,51.581821,2678410.64163701,8030.67726870213
45,E05000091,Harlesden, ,521490,183879,-0.24954,51.540741,897501.14367564,4599.93252249946
46,E05000092,Kensal Green, ,522352,183277,-0.23732,51.535149,1192378.3775318,4595.25360663616
47,E05000093,Kenton, ,517617,188189,-0.30392,51.580299,2092027.79984961,7223.08232288042
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.539268,941764.958106065,4863.58915548023
49,E05000095,Mapesbury, ,523466,185443,-0.22051,51.554371,1344610.23930517,5323.92377322493
50,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57206,2730484.05249789,8018.96902899644
51,E05000097,Preston, ,518207,186413,-0.296,51.564209,2287494.17409315,7125.83254160706
52,E05000098,Queens Park, ,524047,183333,-0.21288,51.535278,1530701.70784169,5780.82648230609
53,E05000099,Queensbury, ,519681,189604,-0.27366,51.592579,2043740.37083663,6263.69502796429
54,E05000100,Stonebridge, ,520083,183661,-0.26989,51.539082,4217116.69615778,10000.2341602627
55,E05000101,Sudbury, ,516871,185370,-0.31562,51.555119,2317587.08384521,7682.73157755069
56,E05000102,Tokyngton, ,519356,185188,-0.27985,51.552959,2573801.18823888,6846.92522783241
57,E05000103,Welsh Harp, ,520882,186662,-0.25734,51.56588,2244292.83591317,7615.15792189428
58,E05000104,Wembley Central, ,518205,184839,-0.29656,51.550072,1558294.84667034,6435.47940576009
59,E05000105,Willesden Green, ,522219,184330,-0.23887,51.54464,1499443.83221975,6641.6271285421
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,4838932.14687472,9567.84067431162
61,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369,8201374.92680021,14765.6035404655
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.369839,8215420.13424748,16606.092226375
63,E05000109,Bromley Town, ,540273,169266,0.015337,51.405079,3562532.83176374,10873.9054509115
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.344551,12663844.82347,19856.7677568321
65,E05000111,Chislehurst, ,544442,170313,0.075659,51.413441,10399066.0128611,15362.3427935316
66,E05000112,Clock House, ,536163,169328,-0.04369,51.406631,2427990.88436825,8034.30243305187
67,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41243,3238346.19960919,9008.38957362675
68,E05000114,Cray Valley East, ,548054,168282,0.126714,51.39426,12824769.7726018,17657.1213291678
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.400162,4013751.20677467,10477.6646161478
70,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.415611,2164126.46124688,7012.39044130677
71,E05000117,Darwin, ,542742,160113,0.047142,51.322208,29296700.6272882,28317.9229249357
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.364491,6978843.44759186,12509.2751160141
73,E05000119,Hayes and Coney Hall, ,539858,165582,0.007927,51.372082,10991265.8351032,15181.295044494
74,E05000120,Kelsey and Eden Park, ,537051,167654,-0.03157,51.39138,5046605.42054204,11497.9329492409
75,E05000121,Mottingham and Chislehurst North, ,542017,172311,0.041613,51.432011,2444496.19935946,7976.31765729196
76,E05000122,Orpington, ,546890,165750,0.108949,51.371811,4205048.39826808,8391.30267635064
77,E05000123,Penge and Cator, ,535785,170333,-0.04873,51.41576,2939734.47909983,7113.27049339898
78,E05000124,Petts Wood and Knoll, ,544582,167490,0.076522,51.388039,4460563.95379634,11652.7877668381
79,E05000125,Plaistow and Sundridge, ,540853,170677,0.024231,51.41761,4114748.46075069,8576.35557421868
80,E05000126,Shortlands, ,539010,168318,-0.00318,51.39687,2510349.80248268,7288.38766097568
81,E05000127,West Wickham, ,538494,166071,-0.01146,51.376801,4317070.3283588,9372.8579626483
82,E05000128,Belsize, ,527236,184686,-0.16643,51.54673,758789.8121017,3447.64749827401
83,E05000129,Bloomsbury, ,529655,181984,-0.13256,51.5219,938711.509883815,3920.440279959
84,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.540852,1039607.11510919,4671.27182285839
85,E05000131,Cantelowes, ,529498,184536,-0.13389,51.544868,731412.88689258,3675.30754904805
86,E05000132,Fortune Green, ,524882,185333,-0.20014,51.55307,1000840.66585606,4954.43829848546
87,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55616,1605734.64172373,5687.81364231751
88,E05000134,Gospel Oak, ,528008,185341,-0.15507,51.552441,680778.900261845,3758.88484755627
89,E05000135,Hampstead Town, ,526645,186181,-0.17442,51.560299,2397937.57706326,7471.06188435631
90,E05000136,Haverstock, ,528188,184717,-0.1527,51.546791,723573.94044921,3543.80368514028
91,E05000137,Highgate, ,528093,186523,-0.15341,51.563042,2980649.04433972,7044.33863390863
92,E05000138,Holborn and Covent Garden, ,530905,181692,-0.11466,51.518978,1226467.74240014,5048.51830757657
93,E05000139,Kentish Town, ,529104,185286,-0.13929,51.551701,958497.972227445,4548.21537460322
94,E05000140,Kilburn, ,525799,183940,-0.18741,51.540352,758703.340010865,4536.77489924201
95,E05000141,King's Cross, ,530349,182567,-0.12235,51.526981,552842.213158065,2984.43373751893
96,E05000142,Regent's Park, ,528987,182932,-0.14184,51.530571,1366098.47694177,5181.66693479282
97,E05000143,St Pancras and Somers Town, ,529714,183428,-0.13118,51.534859,1414653.35989972,4865.99441293241
98,E05000144,Swiss Cottage, ,526951,184105,-0.17075,51.541569,1237884.15251571,5736.45500719256
99,E05000145,West Hampstead, ,525653,184819,-0.1892,51.548279,939716.38812147,4328.34547494967
100,E05000170,Acton Central, ,519997,181039,-0.27202,51.515541,1860904.40969746,6426.2702886176
101,E05000171,Cleveland, ,516520,182148,-0.32174,51.52623,2223097.40029269,8231.54282893483
102,E05000172,Dormers Wells, ,513742,181092,-0.36211,51.5173,2032291.57731042,7483.92388196865
103,E05000173,Ealing Broadway, ,517288,181128,-0.31102,51.516899,1868494.98147186,5786.50295866888
104,E05000174,Ealing Common, ,518521,180272,-0.29354,51.508949,2196983.11070174,6374.14056750163
105,E05000175,East Acton, ,520511,182112,-0.26425,51.52507,4272039.60807152,11802.5267680822
106,E05000176,Elthorne, ,515828,179675,-0.33253,51.50415,1969229.49094724,7185.99411000257
107,E05000177,Greenford Broadway, ,513416,182660,-0.3663,51.53146,2466609.40500577,8816.69025771958
108,E05000178,Greenford Green, ,514686,183987,-0.34757,51.543129,3505818.05936992,10480.7732073914
109,E05000179,Hanger Hill, ,518434,182120,-0.29417,51.525581,3239769.90884813,9205.90241470443
110,E05000180,Hobbayne, ,515236,181403,-0.34049,51.519798,2151664.2518226,5889.37419627362
111,E05000181,Lady Margaret, ,513205,181637,-0.36967,51.522308,1788959.78747881,5744.71326900759
112,E05000182,Northfield, ,516945,179087,-0.31663,51.498631,1411563.69006078,6858.88042824869
113,E05000183,North Greenford, ,516073,184839,-0.3273,51.55051,3040950.48734086,9642.55388213276
114,E05000184,Northolt Mandeville, ,512751,184565,-0.37528,51.548721,2932779.79276308,7612.83422847882
115,E05000185,Northolt West End, ,511303,183433,-0.39651,51.53883,3423721.07758615,8596.6095563601
116,E05000186,Norwood Green, ,513779,179256,-0.36217,51.500801,3986092.0742314,9923.58367603565
117,E05000187,Perivale, ,516484,183227,-0.3219,51.535931,3331763.24150564,9997.32270629092
118,E05000188,South Acton, ,519732,179922,-0.27622,51.50555,1566815.23335434,5714.27544979361
119,E05000189,Southall Broadway, ,512575,180254,-0.37919,51.51001,1611090.13229921,7014.05580628117
120,E05000190,Southall Green, ,511761,179168,-0.39126,51.500408,1561186.82776002,5818.18044746941
121,E05000191,Southfield, ,520691,179377,-0.26259,51.50045,1493419.7593221,5189.82326163889
122,E05000192,Walpole, ,516957,179928,-0.31618,51.506191,1469538.50250754,5150.74182731493
123,E05000193,Bowes, ,531483,192089,-0.10245,51.612282,1408624.70367473,8232.60407824783
124,E05000194,Bush Hill Park, ,532941,194687,-0.08042,51.635288,2534100.16866014,8738.5469771382
125,E05000195,Chase, ,531422,199207,-0.10066,51.676262,17223762.8242201,22435.3833743056
126,E05000196,Cockfosters, ,527997,197445,-0.15081,51.661221,10449864.7557512,17966.9089723552
127,E05000197,Edmonton Green, ,535043,192950,-0.05074,51.619179,3229983.13721203,8805.09125813209
128,E05000198,Enfield Highway, ,536383,197335,-0.02969,51.65826,4649769.98525367,8880.55801645086
129,E05000199,Enfield Lock, ,536635,198893,-0.02544,51.672199,3284810.30655289,7644.69832534528
130,E05000200,Grange, ,532157,195682,-0.09137,51.644409,3247289.42287706,8365.88973924101
131,E05000201,Haselbury, ,533440,193357,-0.07372,51.623219,1727527.96209615,6619.70539364037
132,E05000202,Highlands, ,530904,197284,-0.10887,51.6591,5030674.24673861,10727.6565412268
133,E05000203,Jubilee, ,535608,194766,-0.04188,51.635361,3965309.41405535,10419.7547118175
134,E05000204,Lower Edmonton, ,535464,193776,-0.04434,51.626499,2237544.36574235,7559.8219938591
135,E05000205,Palmers Green, ,531835,192895,-0.09707,51.619438,2053095.37658857,6021.24924526829
136,E05000206,Ponders End, ,536187,195789,-0.03312,51.644409,3539695.55658509,8607.59391624058
137,E05000207,Southbury, ,534114,196542,-0.06277,51.65168,2799077.15102848,8138.51523254046
138,E05000208,Southgate, ,529928,194448,-0.12402,51.633839,2700809.93733777,8347.94916181562
139,E05000209,Southgate Green, ,529878,192851,-0.12534,51.619499,2597729.0205549,7267.46952734884
140,E05000210,Town, ,532992,197449,-0.07864,51.660099,2144181.93328211,6710.70855329873
141,E05000211,Turkey Street, ,535274,198954,-0.04508,51.67308,2283491.6064586,6565.41507491684
142,E05000212,Upper Edmonton, ,534193,192015,-0.06337,51.610981,2521167.62223874,9631.44895363205
143,E05000213,Winchmore Hill, ,531301,193979,-0.10437,51.629311,2739553.73332726,8180.49285650963
144,E05000214,Abbey Wood, ,546816,178669,0.113238,51.487911,2656101.23414982,7344.57008253821
145,E05000215,Blackheath Westcombe, ,540049,177455,0.015356,51.478722,2185483.22000293,7681.08566844637
146,E05000216,Charlton, ,541457,177891,0.035792,51.482288,2235315.51682026,6420.12288819734
147,E05000217,Coldharbour and New Eltham, ,543436,172428,0.062059,51.432701,2529188.5118105,6781.2137973172
148,E05000218,Eltham North, ,543431,175383,0.063184,51.459251,2452166.09307562,7856.19612335905
149,E05000219,Eltham South, ,543742,174021,0.067105,51.446941,4714265.69022615,9582.15472092336
150,E05000220,Eltham West, ,541497,175377,0.035362,51.45969,2458384.59934393,6636.9101740921
151,E05000221,Glyndon, ,544655,178804,0.08219,51.489681,1537946.16579219,5960.49296972054
152,E05000222,Greenwich West, ,538593,177143,-0.00571,51.476269,2411247.85551351,9188.91901418947
153,E05000223,Kidbrooke with Hornfair, ,541854,176630,0.041,51.47086,2270406.60534223,6509.84491792875
154,E05000224,Middle Park and Sutcliffe, ,541117,173988,0.029343,51.4473,3170765.87726064,10269.567691893
155,E05000225,Peninsula, ,540032,179034,0.015737,51.492908,3389342.49158288,8913.1970265444
156,E05000226,Plumstead, ,545924,178299,0.100247,51.484821,2376409.24050163,7730.1066249918
157,E05000227,Shooters Hill, ,544200,176748,0.074802,51.471321,3906131.20577561,8677.97979313306
158,E05000228,Thamesmead Moorings, ,545999,180063,0.102056,51.500648,3862329.83159112,8178.79779620053
159,E05000229,Woolwich Common, ,543528,177730,0.065532,51.48032,2482884.08209507,7398.41141078391
160,E05000230,Woolwich Riverside, ,542295,178807,0.048222,51.490311,2480437.35760388,8134.36099278826
161,E05000250,Addison, ,523640,179464,-0.2201,51.500599,485746.72326078,3045.87374580535
162,E05000251,Askew, ,522018,179714,-0.24337,51.503201,811571.83921624,3918.90881658094
163,E05000252,Avonmore and Brook Green, ,524042,178845,-0.21453,51.494949,896457.868574425,4155.27820258739
164,E05000253,College Park and Old Oak, ,522459,181963,-0.23624,51.523312,3418872.23682059,8114.79493774677
165,E05000254,Fulham Broadway, ,525088,177577,-0.19992,51.483318,694845.18552378,3404.75738132989
166,E05000255,Fulham Reach, ,523773,177856,-0.21875,51.486118,949444.45282923,3760.3147344885
167,E05000256,Hammersmith Broadway, ,523240,178633,-0.22615,51.493221,1093439.24117101,4342.96755985038
168,E05000257,Munster, ,524335,176914,-0.21099,51.477531,579474.45037299,3568.50203584979
169,E05000258,North End, ,524704,178057,-0.20528,51.48772,589868.892503,3153.62460125698
170,E05000259,Palace Riverside, ,523892,176498,-0.21751,51.473881,892803.06818451,5934.58407763034
171,E05000260,Parsons Green and Walham, ,525321,176534,-0.19693,51.473888,811111.555467045,5287.49528010268
172,E05000261,Ravenscourt Park, ,522145,178872,-0.24183,51.495602,1087110.35301585,5026.98747495917
173,E05000262,Sands End, ,525803,176112,-0.19015,51.46999,1115733.94824808,5580.09232268524
174,E05000263,Shepherd's Bush Green, ,523240,180112,-0.22563,51.506512,1144217.58462153,4315.73585747932
175,E05000264,Town, ,524862,176732,-0.20347,51.475769,660333.330270595,3651.51681479175
176,E05000265,Wormholt and White City, ,522339,180556,-0.23845,51.510689,910491.347212915,4112.35095004308
177,E05000266,Alexandra, ,529523,190387,-0.13137,51.597439,2537006.27115446,7228.73124086148
178,E05000267,Bounds Green, ,530243,191163,-0.12069,51.604252,1629604.19312526,5477.35261769001
179,E05000268,Bruce Grove, ,533305,190094,-0.07691,51.593929,975973.39384985,4292.32692371449
180,E05000269,Crouch End, ,529666,188263,-0.13009,51.57832,1543038.88715297,5194.48537096124
181,E05000270,Fortis Green, ,528059,189699,-0.15275,51.591591,1970213.32935265,8240.27062129328
182,E05000271,Harringay, ,531449,188211,-0.1044,51.577438,1632698.9186588,6651.11967066423
183,E05000272,Highgate, ,528141,188258,-0.15209,51.578629,2692771.28578873,8435.19927704566
184,E05000273,Hornsey, ,530433,189213,-0.11868,51.586681,1112928.96378243,4121.82010090759
185,E05000274,Muswell Hill, ,529197,189172,-0.13652,51.586601,1572759.15997565,5851.02473864642
186,E05000275,Noel Park, ,531193,190038,-0.10741,51.593922,1160923.37274164,4842.01131127994
187,E05000276,Northumberland Park, ,534515,191132,-0.05906,51.60297,1910254.51227993,7404.96680938896
188,E05000277,St Ann's, ,532437,188747,-0.08994,51.582031,1100989.96351329,4587.6449676682
189,E05000278,Seven Sisters, ,533558,188427,-0.0739,51.578892,1409496.16208493,6498.13786144298
190,E05000279,Stroud Green, ,530914,188013,-0.11218,51.57579,1031839.32047022,4886.13936962833
191,E05000280,Tottenham Green, ,533648,189087,-0.07235,51.584801,1260220.42531614,4797.99145095534
192,E05000281,Tottenham Hale, ,534521,189778,-0.05949,51.590801,1918310.98956136,6835.7354620223
193,E05000282,West Green, ,532322,189860,-0.09118,51.59206,1409928.59168967,5019.45348202432
194,E05000283,White Hart Lane, ,532755,191140,-0.08445,51.603458,1634477.93335948,5471.95625003092
195,E05000284,Woodside, ,531516,190985,-0.10239,51.602348,1479277.15864235,5437.83626931661
196,E05000285,Belmont, ,516977,190886,-0.31225,51.604671,1803739.68437427,6690.72692812484
197,E05000286,Canons, ,517364,193105,-0.30592,51.624531,5624433.93040152,11905.0139797051
198,E05000287,Edgware, ,519250,190753,-0.27949,51.603001,1278005.92736992,4960.66224280212
199,E05000288,Greenhill, ,515788,188408,-0.33023,51.582642,1587359.13964549,5681.65756315417
200,E05000289,Harrow on the Hill, ,515118,186510,-0.34052,51.56572,3477781.73634714,8384.84446165518
201,E05000290,Harrow Weald, ,514533,191919,-0.34719,51.61446,4699059.31954985,10250.69544791
202,E05000291,Hatch End, ,512921,191417,-0.37062,51.610271,3441404.7814035,8656.10265250828
203,E05000292,Headstone North, ,513617,190017,-0.36103,51.597549,3183875.15303123,8632.87872104533
204,E05000293,Headstone South, ,514234,188930,-0.35248,51.58765,1406205.87652563,5260.66632728241
205,E05000294,Kenton East, ,518376,189314,-0.29259,51.590248,1257969.37354901,5276.81453415302
206,E05000295,Kenton West, ,516718,189385,-0.31649,51.591228,1906612.61505163,6567.40194140566
207,E05000296,Marlborough, ,515460,189535,-0.33459,51.592838,1581482.9014718,6534.17537858198
208,E05000297,Pinner, ,511546,190587,-0.39074,51.603081,3118609.46523597,8911.01471737307
209,E05000298,Pinner South, ,511946,188424,-0.38565,51.583561,2346384.10123665,7347.7023329452
210,E05000299,Queensbury, ,518098,190294,-0.29627,51.59911,1756652.64448318,6897.78524034024
211,E05000300,Rayners Lane, ,512676,187662,-0.37537,51.576569,1626697.28149635,6422.95558661733
212,E05000301,Roxbourne, ,513439,186514,-0.36473,51.566101,1507202.26473434,6337.76599439725
213,E05000302,Roxeth, ,513565,185739,-0.36316,51.559109,1442285.46318543,5699.04318393595
214,E05000303,Stanmore Park, ,516121,192156,-0.32419,51.616261,4446534.70685278,9291.75481896335
215,E05000304,Wealdstone, ,515202,190225,-0.33809,51.599091,1335422.65683639,4604.10871619724
216,E05000305,West Harrow, ,514018,187733,-0.35598,51.576939,1653252.07505548,6085.18654686722
217,E05000306,Brooklands, ,550276,188279,0.167131,51.573349,4370731.71159704,9921.8396931473
218,E05000307,Cranham, ,557231,188611,0.267559,51.57444,6605231.85584032,12781.3620458105
219,E05000308,Elm Park, ,552366,185008,0.195851,51.5434,3644559.4564695,9608.34222420994
220,E05000309,Emerson Park, ,554963,188650,0.234874,51.57542,4750565.98794979,11199.8493910608
221,E05000310,Gooshays, ,554454,193213,0.229541,51.61655,7444523.46846338,14453.0816225581
222,E05000311,Hacton, ,553932,185873,0.218793,51.550751,2475020.40313758,7367.34699310337
223,E05000312,Harold Wood, ,555514,190681,0.243717,51.59351,7771581.50163136,14303.7629380494
224,E05000313,Havering Park, ,550821,192588,0.176841,51.611919,9776447.13420125,14021.0239997047
225,E05000314,Heaton, ,552987,191694,0.207707,51.60331,3653886.8253466,9847.37895766879
226,E05000315,Hylands, ,552410,187242,0.197452,51.563461,2795472.39567048,6842.47452624444
227,E05000316,Mawneys, ,549815,190223,0.161313,51.590939,3090526.585407,8377.78032804278
228,E05000317,Pettits, ,551723,190487,0.188949,51.5928,3982389.31097627,9533.25451225942
229,E05000318,Rainham and Wennington, ,553466,181407,0.210135,51.51075,15446867.4762515,18275.0285247321
230,E05000319,Romford Town, ,551678,188724,0.187538,51.576981,2769863.12307417,9053.67921567098
231,E05000320,St Andrew's, ,554297,186889,0.224499,51.55978,2732965.59356445,8262.43043549015
232,E05000321,South Hornchurch, ,551258,182638,0.178869,51.522411,6212148.75512427,11412.9765735538
233,E05000322,Squirrel's Heath, ,553615,189464,0.215792,51.583099,2585418.67042543,8330.4097427651
234,E05000323,Upminster, ,557943,185012,0.27621,51.541908,22461489.7679614,23907.9603092092
235,E05000324,Barnhill, ,510497,181987,-0.40858,51.52599,2112247.91283432,6401.92031088815
236,E05000325,Botwell, ,509045,180623,-0.42992,51.514011,4587881.47191972,10367.4791186599
237,E05000326,Brunel, ,507000,182115,-0.45893,51.527821,3362626.42883645,9596.25950497708
238,E05000327,Cavendish, ,511186,186761,-0.39714,51.568771,1966871.72846393,6273.1005405243
239,E05000328,Charville, ,509253,182706,-0.42628,51.5327,2865539.67089722,6742.80033229672
240,E05000329,Eastcote and East Ruislip, ,510109,188450,-0.41215,51.58416,3938391.36246766,10497.0217266076
241,E05000330,Harefield, ,506012,189747,-0.47087,51.5966,15014982.6296414,19119.7071493036
242,E05000331,Heathrow Villages, ,507064,176573,-0.45969,51.477989,24066940.2003839,20327.2293114108
243,E05000332,Hillingdon East, ,508299,183518,-0.43978,51.54018,3825233.17914333,9922.23947082917
244,E05000333,Ickenham, ,506720,186158,-0.46174,51.564209,6037833.09226552,10978.141878881
245,E05000334,Manor, ,509924,186852,-0.41532,51.569832,2010933.60579359,6126.86178297222
246,E05000335,Northwood, ,508323,190763,-0.4372,51.605289,7151754.30007723,12109.6634599717
247,E05000336,Northwood Hills, ,510181,190309,-0.41053,51.600849,3570421.23272297,9576.09577187134
248,E05000337,Pinkwell, ,508737,178976,-0.43487,51.499271,2692128.9187163,7406.52536998309
249,E05000338,South Ruislip, ,510647,185281,-0.40538,51.555569,7324487.7545714,15579.4895686534
250,E05000339,Townfield, ,510502,180133,-0.40909,51.509331,3411674.70492523,8039.74036809531
251,E05000340,Uxbridge North, ,506411,184210,-0.46678,51.546761,4613608.20176291,9226.31408852372
252,E05000341,Uxbridge South, ,505228,182845,-0.48424,51.53471,3152694.15760641,8453.74638186771
253,E05000342,West Drayton, ,505843,179232,-0.47647,51.502121,3282918.05754136,9570.4164744444
254,E05000343,West Ruislip, ,508460,187549,-0.43622,51.576382,4691979.44434057,11624.2481121132
255,E05000344,Yeading, ,511898,181627,-0.38851,51.52248,2176613.86789627,6328.73877463717
256,E05000345,Yiewsley, ,506757,180915,-0.46279,51.517078,4104269.17950653,9800.97680806136
257,E05000346,Bedfont, ,508369,173749,-0.44177,51.452358,4497670.86729307,10826.8003920876
258,E05000347,Brentford, ,518290,178487,-0.29747,51.492962,3232438.25107034,10482.5806463721
259,E05000348,Chiswick Homefields, ,521142,176824,-0.25698,51.477409,1925350.84550538,8914.17915231467
260,E05000349,Chiswick Riverside, ,520109,177304,-0.27168,51.481941,1999530.26256509,6199.00098966634
261,E05000350,Cranford, ,510891,176182,-0.40472,51.47374,2888455.38741557,8636.07313702127
262,E05000351,Feltham North, ,510654,174417,-0.40869,51.45792,3341804.58273102,8253.88813859458
263,E05000352,Feltham West, ,509176,172401,-0.43057,51.44009,3034264.03256529,8551.04743217864
264,E05000353,Hanworth, ,511816,171122,-0.39301,51.428082,3338973.50377908,10499.8932690122
265,E05000354,Hanworth Park, ,511026,172421,-0.40396,51.439911,3878797.80070327,7806.35834643339
266,E05000355,Heston Central, ,512435,176640,-0.38236,51.477551,1783916.26472199,6247.91598285951
267,E05000356,Heston East, ,513221,177430,-0.37079,51.484489,2113618.74421078,10580.6124164721
268,E05000357,Heston West, ,511443,177593,-0.39633,51.486309,3785483.43363512,8156.140033122
269,E05000358,Hounslow Central, ,514227,175818,-0.35683,51.469799,1783397.10785295,5512.7881847645
270,E05000359,Hounslow Heath, ,512321,174536,-0.38467,51.45866,2717587.54088526,7053.0833884118
271,E05000360,Hounslow South, ,514848,175341,-0.34805,51.465389,1825989.59095724,6603.60143990929
272,E05000361,Hounslow West, ,512567,175570,-0.3808,51.467911,1564599.76119347,6155.18648151245
273,E05000362,Isleworth, ,516094,175250,-0.33015,51.464321,2090369.87571318,6533.46787548317
274,E05000363,Osterley and Spring Grove, ,515208,177597,-0.34213,51.485592,6152668.19201104,10734.4373889581
275,E05000364,Syon, ,517093,177049,-0.31518,51.480282,2662062.37036546,7875.22800799903
276,E05000365,Turnham Green, ,519675,178753,-0.27744,51.49506,1700207.40805875,6893.90637367102
277,E05000366,Barnsbury, ,531071,183811,-0.11149,51.537991,720482.2536573,3892.71718717078
278,E05000367,Bunhill, ,532281,182438,-0.09456,51.525372,1145181.47764273,5399.36940758426
279,E05000368,Caledonian, ,530558,183901,-0.11884,51.538921,1243463.16495252,4788.95331463568
280,E05000369,Canonbury, ,532445,184332,-0.09149,51.542351,763347.942250805,3653.93462041197
281,E05000370,Clerkenwell, ,531202,182644,-0.11003,51.52747,1025107.37030567,4649.62465342083
282,E05000371,Finsbury Park, ,530812,186416,-0.11425,51.561459,1058112.92229691,4062.45835769032
283,E05000372,Highbury East, ,531832,185104,-0.10003,51.549431,906069.57464795,4763.74466257012
284,E05000373,Highbury West, ,531299,185856,-0.10744,51.556309,1036192.47777174,4543.74857127507
285,E05000374,Hillrise, ,529640,187394,-0.13079,51.570518,756008.07971601,3753.9010271508
286,E05000375,Holloway, ,530486,185379,-0.11933,51.552219,1079248.38454693,4117.72740428443
287,E05000376,Junction, ,529423,186419,-0.13427,51.56181,1127908.18860602,4201.17000946372
